Time,Country Name,Adjusted net national income per capita (annual % growth),Adjusted net national income per capita (current US$),Agricultural land (% of land area),Permanent cropland (% of land area),"Agriculture, forestry, and fishing, value added (annual % growth)",Exports of goods and services (annual % growth)
1990,Australia,..,14199.38386,60.45546256,0.023560652,8.194434246,4.670202467
1990,Brazil,-13.0243967,2137.153859,28.104339,1.090673284,-3.72,-4.917221626
1990,France,2.275154158,18610.73226,55.8705252,2.207405135,6.781897918,4.145828479
1990,Germany,4.651864232,19019.04319,51.64838312,1.26886833,..,11.34874662
1990,Oman,..,3316.746322,3.489499192,0.1453958,..,..
1990,Singapore,..,10038.8698,2.985074627,1.492537313,-8.194820255,13.07718397
1990,Japan,4.385159727,20510.03618,15.99561163,1.302797586,..,7.427948025
1990,China,..,270.421448,53.86456475,0.798870929,7.327732138,..
2000,Australia,..,17264.57483,59.28810382,0.038530128,6.855898476,9.891868587
2000,Brazil,1.590026415,3049.840016,27.31750126,1.1272843,2.723405916,12.86054934
2000,France,1.821971295,19327.58743,54.43607814,2.083215387,-0.913659291,12.88554421
2000,Germany,1.278226382,19549.44184,48.91245164,0.618999857,-3.903874218,13.8233919
2000,Oman,-3.070479617,4380.929602,3.789983845,0.135702746,0.456082994,16.12145322
2000,Singapore,..,20280.94915,1.791044776,0.298507463,-5.98631699,14.32829348
2000,Japan,2.567467869,30664.41044,14.42524005,0.976680384,7.448861961,13.0238932
2000,China,8.229168168,798.0253834,55.69458321,1.171681107,2.328518037,..
2001,Australia,..,15632.68728,59.31817294,0.041654192,3.968142422,8.642389926
2001,Brazil,-1.084347574,2553.031275,27.32990833,1.172270386,5.200340337,9.230526936
2001,France,1.346953316,19368.71087,54.26422703,2.072257824,-2.871724003,3.072397094
2001,Germany,1.268424912,19447.03569,48.82201204,0.596159358,-3.397680016,5.666125509
2001,Oman,7.400343233,4712.647403,3.791922456,0.137641357,5.35914716,6.08923894
2001,Singapore,..,18081.47199,1.791044776,0.298507463,-12.85627653,-3.64070742
2001,Japan,0.266612225,26963.27592,14.30178326,0.957475995,-7.624845619,-6.633823934
2001,China,10.48162707,876.8712486,55.75787186,1.171681831,2.638071238,..
2002,Australia,..,16161.31835,58.1856996,0.042305039,3.199351118,-0.491132175
2002,Brazil,1.50901262,2280.035939,27.3423154,1.217256471,8.020170838,6.476821949
2002,France,-0.323953165,20726.80915,54.0768527,2.060569757,5.696069697,1.997254116
2002,Germany,-0.495008713,20609.38155,48.63555581,0.590494754,-1.212441668,4.20910995
2002,Oman,10.45286786,5193.127111,4.114378029,0.136995153,0.986296685,-3.174421963
2002,Singapore,..,18040.14087,1.777777778,0.296296296,-17.18858733,7.380740438
2002,Japan,-0.681998746,25619.91823,14.19753086,0.943758573,5.925965941,7.892537607
2002,China,11.29142405,965.1136191,55.82113207,1.192985264,2.699946552,..
2003,Australia,..,18933.24808,57.20942947,0.043606732,-21.53305388,0.504298294
2003,Brazil,0.173057093,2467.249664,27.35472246,1.262242556,8.306342204,11.01593941
2003,France,0.186385412,25320.5976,53.90833907,2.03699073,-15.24923746,-0.958891771
